district,disaster_type,month,district_monthly_count
Cuttack,Cyclone,10,1
Cuttack,Flood,3,1
Cuttack,Flood,7,4
D?Nh?Ta,Earthquake,9,1
Dabhol Village Of Maharashtra'Sâ Ratnagiriâ District,Landslide,6,1
Dahanu,Cyclone,11,1
Dakhingaon,Landslide,9,1
Dakshin Bastar Dantewada,Flood,2,1
Dakshina Kannada,Flood,1,1
Dakshina Kannada,Flood,3,1
Dakshina Kannada,Flood,6,1
Dakshina Kannada,Flood,10,1
Damoh,Flood,8,1
"Dapchhuah, Mamit, Mizoram",Landslide,11,1
Dara Gutli Village Of Uri Sector In North Kashmir'S Baramulla District,Landslide,8,1
"Daragaon(?), Gangtok City, Sikkim",Landslide,8,1
Darbhanga,Flood,7,2
Darjeeling,Landslide,7,4
Darjeeling (Between Tin Dharia And Rongtong),Landslide,3,1
Darjeeling / Jalpaiguri,Earthquake,3,1
Darjeeling / Jalpaiguri,Earthquake,9,2
Darjeeling / Jalpaiguri,Earthquake,10,1
Darjeeling / Jalpaiguri,Earthquake,12,2
"Darjeeling District, West Bengal, Toy Train Route",Landslide,5,1
"Darjeeling Heritage Railway, Darjeeling",Landslide,6,1
Darjeeling Hills (Lebong - 10 Km From Darjeeling,Landslide,5,1
"Darjeeling Hills, Multiple Villages In Area (Kurseong, Kalimpong, Bhalukopa, Kukhleinkhani)",Landslide,7,1
"Darjeeling Sadar, Darjeeling West Bengal",Landslide,5,1
"Darjeeling, West Bengal",Landslide,7,1
Darjiling,Flood,1,1
Darlawn,Earthquake,2,1
Darlawn,Earthquake,3,1
Darlawn,Earthquake,7,1
Darlawn,Earthquake,9,2
Darlawn,Earthquake,10,1
Darlawn,Earthquake,11,1
Darlawn,Earthquake,12,1
Darrang,Flood,1,2
Darrang,Flood,9,1
Dausa,Flood,11,1
"Dawrpui Vengthar Cemetary, Aizwal, Mizoram",Landslide,6,1
"Debram Chawl, Antop Hill Near Sheikh Mistry Dargah Road, Central Mumbai",Landslide,10,1
Dehradun / Haridwar,Earthquake,3,1
Dehradun / Haridwar,Earthquake,4,2
Dehradun / Haridwar,Earthquake,5,3
Dehradun / Haridwar,Earthquake,6,1
Dehradun / Haridwar,Earthquake,9,1
Dehradun / Haridwar,Earthquake,10,1
Dehradun / Haridwar,Earthquake,12,1
"Dehradun, Uttarakhand",Landslide,6,1
"Dehradun, Uttarakhand",Landslide,7,1
"Dehradun-Mussoorie Rd, Himachal Pradesh",Landslide,9,1
Delhi,Flood,7,1
Delv?Da,Earthquake,8,1
Dergaon,Earthquake,11,1
"Deval, Chamoli District, Uttarakhand",Landslide,7,1
Dh?Rchula,Earthquake,3,1
Dh?Rchula,Earthquake,5,1
Dh?Rchula,Earthquake,7,1
Dh?Rchula,Earthquake,8,1
Dh?Rchula,Earthquake,12,1
Dh?Ri,Earthquake,11,1
Dhaktebhat In Dongri Village Of St Andre Constituency,Landslide,6,1
Dhalai,Landslide,7,2
"Dhalli, Himachal Pradesh",Landslide,5,1
Dhankuta,Landslide,11,1
"Dhar-Udhampur Rd, Moda Dadda, Udhampur",Landslide,9,1
"Dharam-Tharad Area(?), Ramban District",Landslide,9,1
"Dharampur, Mandi District",Landslide,8,1
Dharamsala Roads,Landslide,7,1
Dharamsala-Kangra State Highway,Landslide,12,1
"Dharasu And Nalupani Near Uttarkashi On Rishikesh Â€“ Gangotri Highway, Uttarakhand",Landslide,9,1
"Dharasu, Uttarkashi, Uttarakhand",Landslide,9,1
"Dharasu-Gangotri Road, Uttarakhand",Landslide,6,1
Dharmanagar,Earthquake,6,1
Dharmanagar,Earthquake,7,1
Dharmanagar,Earthquake,8,1
Dharmanagar,Earthquake,11,1
Dharmapuri,Flood,11,1
Dharwad,Flood,1,2
Dharwad,Flood,5,2
Dhemaji,Flood,1,2
Dhemaji,Flood,7,3
Dhemaji,Flood,8,1
Dhemaji,Flood,9,1
Dhirenpara,Landslide,9,1
Dhok Bagla Near Kotranka,Landslide,6,1
Dhubri,Flood,1,2
Dhubri,Flood,7,2
Dhule,Flood,1,1
"Dibang Valley, Arunachal Pradesh",Landslide,7,1
Dibrugarh,Flood,1,2
Dibrugarh,Flood,7,3
Dibrugarh,Flood,9,1
Dibrugarh / Tinsukia,Earthquake,1,1
Dibrugarh / Tinsukia,Earthquake,5,2
Dibrugarh / Tinsukia,Earthquake,9,1
