grid_cell,disaster_type,month,grid_monthly_count
15.3_74.0,Landslide,10,1
15.3_74.1,Landslide,6,1
15.3_80.2,Cyclone,6,1
15.3_80.5,Cyclone,10,1
15.4_73.8,Landslide,6,1
15.4_73.8,Landslide,7,2
15.4_73.9,Landslide,1,1
15.4_73.9,Landslide,6,2
15.4_74.0,Landslide,5,1
15.4_74.3,Landslide,3,1
15.4_80.2,Cyclone,10,1
15.4_81.3,Cyclone,11,1
15.4_81.5,Cyclone,10,1
15.4_81.9,Cyclone,12,1
15.4_94.5,Cyclone,5,1
15.4_96.2,Cyclone,12,1
15.5_73.8,Landslide,5,1
15.5_73.8,Landslide,7,1
15.5_73.8,Landslide,11,1
15.5_73.9,Landslide,8,1
15.5_75.0,Flood,5,1
15.5_80.0,Cyclone,10,1
15.5_80.5,Cyclone,10,1
15.5_80.9,Cyclone,11,1
15.6_73.8,Landslide,6,1
15.6_73.8,Landslide,12,1
15.6_73.9,Landslide,6,1
15.6_74.1,Landslide,6,1
15.6_80.5,Cyclone,10,1
15.6_81.0,Cyclone,10,1
15.6_81.1,Cyclone,12,1
15.6_81.4,Cyclone,12,1
15.6_81.6,Cyclone,11,1
15.6_82.0,Cyclone,9,1
15.6_93.7,Cyclone,4,1
15.6_94.6,Cyclone,10,1
15.7_73.8,Landslide,9,1
15.7_74.0,Landslide,7,1
15.7_74.2,Landslide,10,1
15.7_78.2,Flood,9,2
15.7_79.9,Flood,9,2
15.7_80.4,Cyclone,5,1
15.7_80.5,Cyclone,5,1
15.7_80.7,Cyclone,11,1
15.7_81.0,Cyclone,11,1
15.7_81.2,Cyclone,5,1
15.7_81.6,Cyclone,9,1
15.7_94.8,Cyclone,1,1
15.7_94.9,Cyclone,10,1
15.7_95.4,Cyclone,9,1
15.7_95.6,Cyclone,5,1
15.7_96.7,Cyclone,1,1
15.8_78.0,Flood,8,3
15.8_78.1,Landslide,6,1
15.8_80.6,Cyclone,12,1
15.8_81.0,Cyclone,5,1
15.8_81.4,Cyclone,10,1
15.8_81.4,Cyclone,11,1
15.8_93.3,Cyclone,11,1
15.8_96.2,Cyclone,5,1
15.9_73.8,Landslide,7,1
15.9_74.0,Landslide,7,1
15.9_80.5,Cyclone,11,1
15.9_81.2,Cyclone,9,1
15.9_93.9,Cyclone,5,1
15.9_94.2,Cyclone,11,1
15.9_96.0,Cyclone,11,1
16.0_74.0,Landslide,7,1
16.0_79.9,Earthquake,8,1
16.0_81.5,Cyclone,10,1
16.0_81.6,Cyclone,9,1
16.0_81.6,Cyclone,10,1
16.0_81.8,Cyclone,5,1
16.0_94.1,Cyclone,5,1
16.1_73.7,Landslide,7,1
16.1_78.9,Landslide,7,1
16.1_81.2,Cyclone,11,1
16.1_81.4,Cyclone,9,1
16.1_82.1,Cyclone,11,1
16.1_93.6,Cyclone,11,1
16.2_77.4,Flood,8,1
16.2_81.1,Cyclone,5,2
16.2_81.1,Cyclone,11,3
16.2_81.3,Cyclone,10,1
16.2_81.4,Cyclone,11,1
16.2_81.5,Cyclone,10,1
16.2_81.8,Cyclone,5,1
16.2_81.8,Cyclone,10,1
16.2_96.4,Cyclone,9,1
16.3_80.4,Flood,5,1
16.3_80.4,Flood,8,1
16.3_80.4,Flood,10,1
16.3_81.4,Cyclone,10,1
16.3_82.0,Cyclone,9,1
16.3_82.1,Cyclone,10,1
16.3_82.2,Cyclone,10,2
16.3_82.4,Cyclone,5,1
16.3_82.6,Cyclone,11,1
16.3_82.9,Cyclone,9,1
16.3_94.0,Cyclone,10,1
16.4_73.3,Cyclone,5,1
16.4_82.1,Cyclone,10,1
16.4_82.2,Cyclone,10,1
16.5_79.7,Earthquake,5,1
16.5_80.6,Landslide,4,1
16.5_80.6,Landslide,5,1
16.5_80.6,Landslide,8,2
16.5_80.6,Landslide,9,1
16.5_80.6,Landslide,10,1
16.5_80.6,Landslide,11,1
16.5_80.7,Landslide,2,1
16.5_80.7,Landslide,8,1
16.5_82.2,Cyclone,9,1
16.5_82.2,Cyclone,10,1
16.5_82.4,Cyclone,10,1
16.5_82.4,Cyclone,11,1
16.5_82.5,Cyclone,8,1
16.6_73.7,Cyclone,6,1
16.6_73.7,Landslide,7,1
16.6_80.6,Landslide,6,1
16.6_80.8,Flood,8,3
16.6_82.9,Cyclone,9,1
16.7_73.5,Landslide,1,1
16.7_74.2,Flood,7,1
16.7_82.2,Cyclone,10,1
16.8_83.3,Cyclone,11,1
16.9_73.5,Cyclone,10,1
16.9_73.5,Landslide,7,3
16.9_73.6,Landslide,6,1
16.9_73.7,Earthquake,11,1
16.9_81.4,Flood,8,2
16.9_82.5,Cyclone,5,1
16.9_82.8,Cyclone,10,1
16.9_94.3,Cyclone,4,1
17.0_73.3,Cyclone,11,1
17.0_73.3,Landslide,7,1
17.0_73.4,Landslide,6,1
17.0_73.5,Earthquake,12,1
17.0_73.5,Landslide,6,1
17.0_79.3,Flood,8,1
17.0_81.8,Flood,8,5
17.0_82.2,Cyclone,11,2
17.0_83.0,Cyclone,10,1
17.0_94.4,Cyclone,5,1
17.1_73.4,Earthquake,12,1
17.1_73.5,Landslide,8,1
17.1_73.6,Earthquake,4,1
17.1_73.6,Earthquake,12,1
17.1_73.7,Earthquake,3,2
17.1_73.7,Earthquake,4,1
17.1_73.7,Earthquake,9,1
17.1_73.7,Earthquake,11,1
17.1_73.8,Earthquake,8,1
17.1_73.9,Earthquake,6,1
17.1_82.9,Cyclone,11,1
17.1_83.2,Cyclone,10,1
17.1_83.2,Cyclone,11,1
17.1_83.7,Cyclone,10,1
17.2_73.5,Earthquake,2,1
17.2_73.6,Earthquake,4,2
17.2_73.7,Earthquake,1,1
17.2_73.7,Earthquake,8,2
17.2_73.8,Earthquake,2,1
17.2_73.9,Earthquake,11,1
