grid_cell,disaster_type,grid_avg_deaths
28.1_95.2,Landslide,3.0
28.1_95.3,Flood,30.0
28.1_96.5,Landslide,0.0
28.2_94.8,Landslide,1.0
28.2_94.9,Landslide,15.0
28.2_95.0,Landslide,0.0
28.2_96.2,Landslide,12.0
28.3_95.4,Landslide,10.0
28.4_95.9,Landslide,0.0
28.5_80.9,Flood,19.0
28.5_95.9,Landslide,0.0
28.6_77.2,Flood,12.0
28.6_77.2,Landslide,1.0
28.6_77.3,Landslide,1.0
28.6_77.4,Landslide,0.0
28.7_77.2,Landslide,1.0
28.9_79.6,Landslide,11.0
28.9_95.3,Landslide,0.0
29.2_79.1,Landslide,2.0
29.2_79.5,Landslide,4.0
29.3_80.1,Landslide,21.0
29.4_79.5,Flood,40.0
29.4_79.5,Landslide,5.666666666666667
29.4_79.6,Landslide,1.0
29.4_80.1,Landslide,0.0
29.5_79.3,Landslide,0.0
29.6_79.5,Landslide,12.0
29.6_79.7,Landslide,20.25
29.6_79.9,Landslide,0.0
29.6_80.2,Landslide,26.4
29.6_80.4,Landslide,1.0
29.7_78.6,Landslide,3.0
29.7_79.6,Landslide,1.0
29.8_79.8,Landslide,9.0
29.8_80.1,Landslide,0.0
29.8_80.3,Landslide,0.0
29.8_80.4,Landslide,0.0
29.9_78.2,Flood,450.0
29.9_78.2,Landslide,0.0
29.9_79.4,Landslide,0.0
29.9_80.6,Landslide,0.0
30.0_78.2,Landslide,0.0
30.0_78.6,Landslide,0.0
30.0_79.9,Landslide,18.0
30.0_80.2,Landslide,1.0
30.1_78.3,Landslide,1.0
30.1_78.4,Landslide,0.0
30.1_78.6,Landslide,0.0
30.1_78.7,Landslide,14.0
30.1_78.8,Landslide,22.0
30.1_79.0,Landslide,10.0
30.1_80.2,Landslide,0.5
30.2_77.9,Landslide,0.0
30.2_78.1,Landslide,1.0
30.2_78.3,Landslide,4.0
30.2_78.4,Landslide,0.0
30.2_78.8,Landslide,0.0
30.2_78.9,Landslide,0.0
30.2_79.2,Landslide,0.0
30.2_80.2,Landslide,298.75
30.3_78.0,Landslide,1.5
30.3_78.1,Landslide,10.0
30.3_78.3,Landslide,0.0
30.3_78.5,Landslide,0.0
30.3_78.9,Landslide,0.0
30.3_79.0,Landslide,35.45454545454545
30.3_79.2,Landslide,0.0
30.3_79.3,Landslide,0.0
30.3_79.4,Landslide,0.0
30.4_77.1,Landslide,1.0
30.4_78.1,Landslide,1.0
30.4_78.3,Landslide,0.0
30.4_78.5,Flood,68.0
30.4_78.5,Landslide,21.285714285714285
30.4_78.8,Landslide,0.0
30.4_79.0,Landslide,0.0
30.4_79.1,Landslide,0.0
30.4_79.2,Landslide,7.0
30.4_79.3,Flood,85.0
30.4_79.3,Landslide,33.23076923076923
30.4_79.7,Landslide,0.0
30.5_78.0,Landslide,0.0
30.5_78.1,Landslide,0.0
30.5_78.3,Landslide,1.0
30.5_78.4,Landslide,0.0
30.5_79.1,Landslide,0.0
30.5_79.2,Landslide,0.0
30.5_79.4,Landslide,0.0
30.5_79.5,Landslide,2.0
30.6_77.3,Landslide,3.0
30.6_77.5,Landslide,0.0
30.6_77.7,Landslide,0.0
30.6_78.3,Landslide,1.0
30.6_79.0,Landslide,3.0
30.6_79.5,Landslide,0.0
30.6_79.6,Landslide,0.0
30.6_79.8,Landslide,4.0
30.7_77.0,Landslide,0.0
30.7_77.2,Landslide,0.0
30.7_77.4,Landslide,0.6666666666666666
30.7_77.9,Landslide,10.0
30.7_78.3,Landslide,0.0
30.7_78.4,Landslide,71.07142857142857
30.7_78.5,Landslide,0.0
30.7_78.6,Landslide,0.0
30.7_79.0,Landslide,0.0
30.7_79.1,Flood,5700.0
30.7_79.1,Landslide,971.5
30.7_79.5,Landslide,0.0
30.7_79.6,Landslide,2.0
30.8_78.6,Landslide,0.16666666666666666
30.8_78.8,Landslide,0.0
30.8_79.4,Landslide,0.0
30.9_76.8,Landslide,0.0
30.9_77.0,Landslide,0.0
30.9_77.1,Landslide,4.875
30.9_77.5,Landslide,0.0
30.9_78.1,Landslide,0.0
30.9_78.3,Landslide,0.0
30.9_78.5,Landslide,0.0
30.9_78.7,Landslide,0.0
30.9_78.8,Landslide,0.0
30.9_79.5,Landslide,2.0
31.0_77.1,Landslide,0.6666666666666666
31.0_77.2,Landslide,0.0
31.0_77.5,Landslide,0.0
31.0_78.4,Landslide,0.0
31.0_78.5,Landslide,0.0
31.0_78.9,Landslide,0.0
31.1_77.1,Landslide,0.0
31.1_77.2,Landslide,8.75
31.1_77.4,Landslide,1.0
31.1_77.5,Landslide,0.0
31.2_77.7,Landslide,0.0
31.2_77.9,Landslide,0.0
31.3_76.8,Landslide,0.0
31.3_77.5,Landslide,0.0
31.4_77.4,Landslide,0.0
31.4_77.9,Landslide,0.0
31.5_76.7,Landslide,0.5
31.5_76.9,Landslide,0.0
31.5_77.7,Landslide,1.0
31.5_77.8,Landslide,0.0
31.5_78.0,Landslide,0.0
31.5_78.1,Landslide,0.6666666666666666
31.5_78.2,Landslide,0.3333333333333333
31.6_74.9,Flood,41.5
31.6_77.9,Landslide,1.0
31.6_78.0,Landslide,2.0
31.6_78.3,Landslide,0.0
31.6_78.4,Landslide,2.0
31.6_78.5,Landslide,24.0
31.7_76.5,Landslide,0.0
31.7_76.9,Landslide,17.142857142857142
31.7_77.1,Landslide,0.0
31.8_76.8,Landslide,3.0
31.8_77.0,Landslide,0.0
31.8_77.5,Landslide,0.0
31.9_77.1,Landslide,0.0
32.0_77.1,Landslide,27.333333333333332
32.0_77.2,Landslide,0.0
32.0_77.3,Landslide,8.0
32.1_76.3,Flood,80.0
32.1_76.3,Landslide,21.0
32.1_77.1,Landslide,0.0
32.1_77.2,Landslide,0.0
32.2_76.3,Landslide,0.0
32.2_76.4,Landslide,0.0
32.2_77.2,Landslide,0.25
32.2_78.0,Landslide,1.0
32.2_78.1,Landslide,7.5
32.3_77.2,Landslide,4.333333333333333
32.4_75.5,Landslide,0.0
32.4_75.6,Landslide,0.0
32.4_77.1,Landslide,3.0
32.4_77.2,Landslide,0.0
32.5_75.1,Landslide,0.0
32.5_77.5,Landslide,24.666666666666668
32.6_75.3,Landslide,0.0
32.6_75.4,Landslide,0.0
32.6_75.6,Landslide,0.0
32.6_75.8,Landslide,0.0
32.6_76.1,Landslide,9.833333333333334
32.7_74.9,Landslide,0.5
32.7_75.1,Landslide,1.0
32.7_76.0,Landslide,0.0
32.7_76.9,Landslide,0.0
32.7_77.6,Landslide,11.0
32.8_75.1,Landslide,2.5
32.8_77.4,Landslide,0.0
32.9_75.1,Landslide,0.5
33.0_74.5,Landslide,0.0
33.0_74.9,Landslide,1.1428571428571428
33.0_75.0,Landslide,0.0
33.0_75.2,Landslide,0.0
33.0_75.3,Landslide,5.0
33.0_75.7,Landslide,2.0
33.1_74.8,Landslide,1.5
33.1_74.9,Landslide,1.0
33.1_75.1,Landslide,41.0
33.1_75.2,Landslide,0.0
33.1_75.3,Landslide,0.0
33.1_75.4,Landslide,2.0
33.1_75.5,Landslide,18.0
33.1_75.6,Landslide,2.5
33.1_75.7,Landslide,12.0
33.1_75.8,Landslide,0.0
33.2_75.2,Landslide,6.333333333333333
33.2_75.3,Landslide,0.5
33.2_75.5,Landslide,1.0
33.2_75.7,Landslide,1.0
33.2_75.8,Landslide,0.0
33.3_75.2,Landslide,0.2727272727272727
33.3_75.8,Landslide,1.0
33.3_75.9,Landslide,1.0
33.3_77.3,Landslide,0.0
33.4_74.3,Landslide,13.333333333333334
33.4_74.5,Landslide,3.0
33.4_75.2,Landslide,0.0
33.5_74.4,Landslide,13.0
33.6_74.2,Landslide,0.0
33.6_74.5,Landslide,0.0
33.6_74.9,Landslide,0.0
33.6_77.8,Landslide,0.0
33.7_74.2,Landslide,0.5
33.7_74.3,Landslide,1.0
33.7_74.6,Landslide,2.0
33.7_74.8,Landslide,0.0
33.7_76.0,Landslide,3.0
33.7_77.8,Landslide,0.0
33.8_74.1,Landslide,7.333333333333333
33.8_74.3,Landslide,1.0
33.9_74.3,Landslide,2.0
33.9_74.6,Landslide,0.0
33.9_74.7,Landslide,0.0
33.9_74.8,Landslide,16.0
33.9_75.0,Landslide,1.0
34.0_74.3,Landslide,10.0
34.0_74.6,Landslide,0.0
34.0_74.8,Landslide,0.0
34.0_75.3,Landslide,2.0
34.1_74.0,Landslide,1.25
34.1_74.1,Landslide,0.0
34.1_74.4,Landslide,0.0
34.1_74.6,Landslide,0.0
34.1_74.7,Landslide,0.0
34.1_74.8,Flood,277.0
34.1_74.9,Landslide,2.0
34.1_76.8,Landslide,0.0
34.1_77.5,Landslide,234.0
34.1_77.6,Landslide,0.0
34.1_77.7,Landslide,11.0
34.2_74.1,Landslide,0.0
34.2_74.3,Landslide,0.0
34.2_74.4,Landslide,1.0
34.2_74.5,Landslide,0.0
34.2_75.5,Landslide,0.0
34.2_77.3,Landslide,2.0
34.2_77.4,Landslide,182.0
34.2_77.5,Landslide,0.0
34.2_77.6,Flood,255.0
34.2_77.6,Landslide,9.0
34.3_75.1,Landslide,0.0
34.3_75.3,Landslide,0.0
34.3_75.4,Landslide,0.0
34.3_75.5,Landslide,1.0
34.3_77.3,Landslide,0.0
34.4_74.3,Landslide,0.0
34.4_75.6,Landslide,0.0
34.4_76.3,Landslide,0.0
34.5_74.2,Landslide,0.0
34.6_73.2,Flood,15.0
34.6_76.1,Landslide,0.0
34.6_77.6,Landslide,0.0
34.7_74.0,Landslide,0.0
34.7_74.7,Landslide,1.0
34.9_76.8,Landslide,13.0
8.2_77.3,Landslide,0.0
8.2_77.4,Landslide,0.0
8.3_77.2,Landslide,0.0
8.5_76.9,Landslide,20.0
8.5_77.0,Landslide,0.0
8.7_76.9,Landslide,1.0
9.4_76.9,Landslide,0.0
9.4_78.8,Cyclone,170.5
9.5_77.0,Landslide,0.0
9.6_76.5,Landslide,15.5
9.6_77.0,Landslide,0.0
9.8_76.9,Landslide,0.0
9.8_77.1,Landslide,38.6
9.9_76.4,Landslide,0.0
9.9_76.7,Landslide,0.0
9.9_76.8,Landslide,2.0
9.9_76.9,Landslide,1.0
9.9_77.0,Landslide,2.5
