district,disaster_type,district_event_count
"Darjeeling Hills, Multiple Villages In Area (Kurseong, Kalimpong, Bhalukopa, Kukhleinkhani)",Landslide,1
"Darjeeling Sadar, Darjeeling West Bengal",Landslide,1
"Darjeeling, West Bengal",Landslide,1
Darjiling,Flood,1
Darlawn,Earthquake,8
Darrang,Flood,3
Dausa,Flood,1
"Dawrpui Vengthar Cemetary, Aizwal, Mizoram",Landslide,1
"Debram Chawl, Antop Hill Near Sheikh Mistry Dargah Road, Central Mumbai",Landslide,1
Dehradun / Haridwar,Earthquake,10
"Dehradun, Uttarakhand",Landslide,2
"Dehradun-Mussoorie Rd, Himachal Pradesh",Landslide,1
Delhi,Flood,1
Delv?Da,Earthquake,1
Dergaon,Earthquake,1
"Deval, Chamoli District, Uttarakhand",Landslide,1
Dh?Rchula,Earthquake,5
Dh?Ri,Earthquake,1
Dhaktebhat In Dongri Village Of St Andre Constituency,Landslide,1
Dhalai,Landslide,2
"Dhalli, Himachal Pradesh",Landslide,1
Dhankuta,Landslide,1
"Dhar-Udhampur Rd, Moda Dadda, Udhampur",Landslide,1
"Dharam-Tharad Area(?), Ramban District",Landslide,1
"Dharampur, Mandi District",Landslide,1
Dharamsala Roads,Landslide,1
Dharamsala-Kangra State Highway,Landslide,1
"Dharasu And Nalupani Near Uttarkashi On Rishikesh Â€“ Gangotri Highway, Uttarakhand",Landslide,1
"Dharasu, Uttarkashi, Uttarakhand",Landslide,1
"Dharasu-Gangotri Road, Uttarakhand",Landslide,1
Dharmanagar,Earthquake,4
Dharmapuri,Flood,1
Dharwad,Flood,4
Dhemaji,Flood,7
Dhirenpara,Landslide,1
Dhok Bagla Near Kotranka,Landslide,1
Dhubri,Flood,4
Dhule,Flood,1
"Dibang Valley, Arunachal Pradesh",Landslide,1
Dibrugarh,Flood,6
Dibrugarh / Tinsukia,Earthquake,4
"Didihat, Uttarakhand, India",Landslide,1
"Digdol, Jammu-Srinagar National Highway, Between Kashmir And The Rest Of The Country",Landslide,1
Digha,Cyclone,1
"Dikhu Bridge(?), Mokokchung-Tuensang Road, Nagaland",Landslide,1
Dim?Pur,Earthquake,1
Dima Hasao,Landslide,3
Dimapur-Imphal Highway (Nh 39) Near Manipur,Landslide,1
Diphu,Earthquake,2
Dirba,Earthquake,1
"Districts Lakhimpur, Dhemaji, Golaghat, And Sonitpur, Assam Province",Landslide,1
Diwalkund In Dessa Belt Of Doda District,Landslide,1
Doba,Landslide,1
"Doba Sayedan, Kashmir",Landslide,1
Doda,Flood,1
Doda,Landslide,2
Doda-Bhaderwah Highway,Landslide,1
Doda-Kishtwar Road,Landslide,1
Dohad,Flood,1
"Dolma Lhakang Complex, Lumla, Tawang,  Arunachal Pradesh, India",Landslide,1
Dum Dum Parai,Landslide,1
"Dumuriput, Odisha 764021, India",Landslide,1
Durgapur,Earthquake,1
East Champaran,Flood,1
East Godavari,Flood,3
East Jaintia Hills,Landslide,1
East Kameng District In Arunachal Pradesh Bordering China,Landslide,1
"East Kameng, Arunachal Pradesh",Landslide,1
East Khasi Hills,Earthquake,4
East Midnapore/South 24 Parganas,Cyclone,114
"East Siang, Arunachal Pradesh",Landslide,1
East Sikkim,Earthquake,10
East Sikkim,Landslide,2
East Singhbhum,Flood,1
"Eastern Edge Of Leh City, Ladakh, Jammu And Kashmir",Landslide,1
Edakumeri Near Subrahmanya,Landslide,1
"Eknath(?) Chawl, Sainic Nagar(?), Below Mumbra Hill, Mumbra, Near Mumbai, Maharashtra",Landslide,1
"Ekvira Devi Temple, Karla Near Khandala",Landslide,1
"Endulin Nallah, Mayodia, 17-Camp, 83-Camp",Landslide,1
"Eraniel Station,  Kanyakumari District, India",Landslide,1
Erasama,Cyclone,1
Ernakulam,Flood,6
"Ernakulam, Kerala (Monsoon)",Landslide,1
Erode,Flood,1
Etah,Flood,1
Faizabad,Flood,1
Farangipete,Landslide,1
Farrukhabad,Flood,1
Fatehgarh Ch?Ri?N,Earthquake,1
"Fazl Ali College, Mokokchung, Nagaland",Landslide,1
Ferozeguda,Landslide,1
"Finchaytaar, Lodhoma, Darjeeling, India",Landslide,1
Firozpur,Flood,1
"First Hairpin Bend, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",Landslide,1
Frasthar,Landslide,1
Gadag,Flood,3
Gagnani,Landslide,1
Gagret,Earthquake,2
"Gaiparnath Mahadev Temple, Foothills Of Chambal Ravines",Landslide,1
Gajapati,Flood,1
Gamraula Near Bilaspur,Landslide,1
Ganderbal,Flood,2
Gandhinagar,Flood,1
"Gandoh, Doda District, Jammu",Landslide,1
"Ganga Vihar Colony In Bhatwadi Area, Uttarkashi, Uttarakhand",Landslide,1
Ganganagar,Flood,1
"Gangortri-Rishikesh Highway, At Narendranagar In Tehri District Of Uttarakhand",Landslide,1
"Gangotree National Highway Near Bhatvaree, Uttarkashi District",Landslide,1
Gangotri,Landslide,1
Gangotri Highway,Landslide,1
"Gangotri Highway Near Helgugad, Uttarkashi, Uttarakhand, India",Landslide,1
"Gangotri-Rishikesh Hwy, Uttarakhand (Mid-Point Of Road -Exact Location Unknown)",Landslide,1
Gangtok,Landslide,2
Ganj?M,Earthquake,1
"Gaoilung(Gadailong) Village(?), Ward 4(?), Tamenglong, Manipur",Landslide,1
Garchuk,Landslide,1
Garhchiroli,Flood,3
Garhwa,Flood,1
"Garhwal, Uttarakhand",Landslide,1
Gariadhar,Earthquake,1
"Garo Hills, Tura",Landslide,1
"Gauchar, Chamoli District, Uttarakhand",Landslide,1
"Gaunsawaddo, Mapusa, Goa, India",Landslide,1
"Gaurikund, Road To Kedarnath, Garwhal Division, Uttarakhand",Landslide,1
