district,disaster_type,district_event_count
"Theog-Kotkhai-Jubbal Road, Himachal Pradesh",Landslide,1
"Thillong Village, Doyang Along State Highway 1, Wokha To Merapani Road",Landslide,1
"Thirpak, Uttarakhand",Landslide,1
Thiruvallur,Flood,1
Thiruvananthapuram,Flood,11
Thiruvananthapuram,Landslide,1
"Thiruvankulam, Kerala",Landslide,1
"Thodpuzha(Thodupuzha) Municipality, Idukki, Kerala",Landslide,1
Three Graveyards Within Aizawl,Landslide,1
Thrissur,Flood,8
"Tikri Village(?) Near Loc, Uri Sector, Baramulla District, Jammu And Kashmir",Landslide,1
Tindharia And Rong Tong,Landslide,1
Tindharia Railway Maintenance Shed,Landslide,1
Tinsukia,Flood,4
"Tirah Lines Which Is Almost 5 Kms From Dharamshala, Himachal Pradesh",Landslide,1
"Tirap , Arunachal Pradesh",Landslide,1
"Tirumala, Andhra Pradesh",Landslide,1
Tirunelveli/Thoothukudi,Cyclone,1
"Tizu, Nagaland",Landslide,1
"Tobu, Nagaland",Landslide,1
Tongseng,Landslide,1
Tonk,Flood,1
"Tottilagundi, Dakshina Kannada District",Landslide,1
Tousem,Landslide,1
"Toy Train Rails Between Siliguri And Darjeeling, West Bengal",Landslide,1
"Toyota Showroom, Goa, India",Landslide,1
"Tracks Near Kulshekar, Between Padil And Thokur, Mangalore To Mumbai",Landslide,1
"Trail Between Adh Kuwari(Adhkuwari) Temple And Shri Mata Vaishno Devi Cave Shrine, Trikuta Hills(?), Near Katra, Reasi, Jammu And Kashmir",Landslide,1
Tripi (Tirpai?) Road Of Upper Gumfa Area In Kalimpong,Landslide,1
Tsarap River,Landslide,1
Tuensang,Earthquake,10
"Tuensang, Nagaland",Landslide,1
"Tuensang-Kohima Rd, 3 Km Outside Tuensang, Nagaland",Landslide,1
"Tuensang-Shamatore(Sampurre) Rd, Nagaland",Landslide,1
"Tuikual 'C', Aizawl, Mizoram",Landslide,1
"Tuitung Village, Khengjoi",Landslide,1
Tumkur,Flood,3
Tunnel Number 16 On The Jammu-Udhampur Section,Landslide,1
Tura,Earthquake,6
Tura,Landslide,1
Tura Civil Hospital,Landslide,1
"Tusom, Manipur",Landslide,1
"Tuting, Upper Siang , Arunachal Pradesh",Landslide,1
"Tyakshi(?) Village Near Turtuk(Nubra Valley) On Leh-Saichen(Siachan) Rd, Jammu And Kashmir",Landslide,1
Type-Iv Colony Of Seppa In East Kameng,Landslide,1
Udalguri,Earthquake,1
Udalguri,Flood,1
Udhagamandalam,Landslide,1
Udupi,Flood,1
Uhl River In Kamand Area,Landslide,1
Ukhrul,Landslide,1
Ukhrul Nh 201-Jessami Road,Landslide,1
Ukhrul Town Circular Road From Rayotang To Viewland Zone Ii,Landslide,1
"Ukhrul, Manipur",Landslide,1
Umarga,Earthquake,2
"Umling, Meghalaya 793102, India",Landslide,1
Una,Cyclone,1
Una,Earthquake,1
Una,Flood,3
Under The Third And Fourth Padil-Bajal Under-Bridge Railway Tracks,Landslide,1
Unnao,Flood,1
Upper Kodaikanal Road,Landslide,1
"Upper Shimla, Himachal Pradesh",Landslide,1
Upper Subansiri,Flood,1
Upper Subansiri,Landslide,1
"Upper Subansiri District, Arunanchal Pradesh",Landslide,1
Uri,Earthquake,9
Uri,Landslide,1
"Uri, Baramulla District",Landslide,1
"Urni, Satluj River, Kinnaur District, Himachal Pradesh, India",Landslide,1
Uttar Pradesh,Landslide,1
Uttara Kannada,Flood,4
Uttarakhand,Landslide,1
Uttarakhand And The Uttar Pradesh,Landslide,1
Uttark?Shi,Earthquake,2
Uttarkashi,Earthquake,11
Uttarkashi,Landslide,8
Uttarkashi District,Landslide,1
"Uttarkashi Town, Uttarakhand",Landslide,1
"Uttarkashi, Uttarakhand",Landslide,2
"Uttarkashi, Uttarakhand,",Landslide,1
V?S?Vadar,Earthquake,1
"Vadad-Hasol Village Near Rajapur In Ratnagiri District, Maharastra",Landslide,1
Vadodara,Flood,3
Vaishali,Flood,1
Vaishnodevi In Trikuta Hills Of Reasi District,Landslide,1
"Valiyasalai, Thiruvananthapuram, Kerala",Landslide,1
Valley Of Flowers Near Badrinath,Landslide,1
Valsad,Flood,1
"Vamanapuram, Thiruvananthapuram District In The State Of Kerala",Landslide,1
"Vannappuram, Kerala,",Landslide,1
Varanasi,Flood,5
"Varunavat Mountain, Uttarkashi",Landslide,1
Vasco,Landslide,2
"Vazhavara, Idukki, Kerala, India",Landslide,1
"Velnal Village, Tamei Sub-Division And Toribari Village (3 Kilometer Toward Tamei From Kangpokpi)",Landslide,1
"Vengola, Kerala",Landslide,1
Veraval,Cyclone,1
Vidisha,Flood,1
Vijaywada(Vijayawada),Landslide,1
"Village In Pangi Valley, Chamba District",Landslide,1
Village Mohechiwadi Under Karjat Taluka Of Raigad District,Landslide,1
"Villages Pilkha(?), Devali(?), And Balta(?), Avalbagh Block(?), Almora(Almorah) District, Uttarakhand",Landslide,1
"Villages Shapoo(?), Bazgo(?) And Wide Area Around Leh, Ladakh, Jammu And Kashmir",Landslide,1
Villages Surrounding The West Sikkim District Of,Landslide,1
"Villanchira, Near Neryamangalam",Landslide,1
Vinukonda,Earthquake,1
Vip Road,Landslide,1
Virudunagar,Flood,1
Visakhapatnam,Flood,1
Visakhapatnam/Srikakulam,Cyclone,40
Vishakhapatnam,Cyclone,7
"Vishnuprayag, Joshimath",Landslide,1
Vizianagaram,Cyclone,1
Vizianagaram,Flood,1
"Vollant, Vasco, Behind The Ktc Bus Stand, Goa, India",Landslide,1
W?Ngjing,Earthquake,83
"Wadpora, Budgam Near Vidyala School",Landslide,1
"Walo Ward, Mon Town, Wokha District, Nagaland",Landslide,1
Wamkhu Village Along The Tengnoupal-Joupi Road In Chandel District,Landslide,1
Warangal,Flood,4
Wardha,Flood,2
Washim,Flood,2
Wayanad,Flood,11
Wayanad,Landslide,4
"Wayang, Khengjoi",Landslide,1
West Bengal,Cyclone,1
West Bengal Coast,Cyclone,158
West Bengal-Sikkim At Highway Rambi,Landslide,1
West Garo Hills,Landslide,1
West Godavari,Flood,4
West Kameng,Landslide,1
West Kameng / East Kameng,Earthquake,35
"West Kameng, Arunachal Pradesh",Landslide,1
West Siang,Landslide,1
West Tripura,Earthquake,7
Willong-Yangkhullen Stretch,Landslide,1
Wokha,Earthquake,1
Yadgir,Flood,1
Yairipok,Earthquake,19
"Yakshu, Nagaland",Landslide,1
Yamnotri Highway,Landslide,1
Yamunotri,Landslide,1
Yamunotri Route,Landslide,1
Yanam,Cyclone,1
Yangkhullen-Tamphung Road Till Nagaland Border,Landslide,1
Yavatmal,Flood,1
"Yedakumeri, Bengaluru-Mangaluru Train",Landslide,1
Yedakumeri-Shiribagilu In The Hassan-Mangalore Section Of The Line.,Landslide,1
"Zang(?), East Sikkim",Landslide,1
"Zembabawk, Aizawl",Landslide,1
Zero Near Kurseong,Landslide,1
"Zhekuto, Nagaland",Landslide,1
Zojila Pass,Landslide,2
"Zojila, India (Srinagar-Kargil Road)",Landslide,1
Zunheboto,Earthquake,2
Zunheboto District,Landslide,1
"Zunheboto, Nagaland",Landslide,2
"Zunheboto, Nagaland, India",Landslide,1
Â Arunachal Pradeshâ,Landslide,1
"Â Between Harangajao And Mailongdisa, Assa,",Landslide,1
"Â Chungthang And Pegong. Houses, Between Rangma And Chungthang",Landslide,1
Â Jammu-Srinagar,Landslide,1
"Â Varai, Maharashtra",Landslide,1
